version,big_file,assets_tree_oid,note
1.0.0,Zulu_v1.0.0.big,a01f63337dd0da963c38b04e988de95df4fe4137,
1.1.0,Zulu_v1.1.0.big,1cf50c255a6804d04301256bd587f03f45ca8db0,
1.1.1,Zulu_v1.2.0.big,6730d4324b45b657f159a5f32af461fdea6d2d06,same assets as 1.2.0/1.2.1
1.2.0,Zulu_v1.2.0.big,6730d4324b45b657f159a5f32af461fdea6d2d06,
1.2.1,Zulu_v1.2.0.big,6730d4324b45b657f159a5f32af461fdea6d2d06,same assets as 1.2.0
1.2.2,Zulu_v1.2.2.big,286b980d4d0e628542d2797ad8d7804d815bd97d,
1.2.3,,06449858104f74211d97639b405bd70d2f1d92c7,NOT BUILT - distinct assets but not in corpus; ref f12dc87ec if needed
1.2.4,Zulu_v1.2.4.big,d6d1c7555e679d84b707d2b2f515d96a35f66bbf,
1.2.5,,,NOT BUILT - no clear git ref; not in corpus
1.2.6,Zulu_v1.2.6.big,6ad0f30a2c4735b9ae476eb4bf4bee17a3c2e377,
1.2.7,Zulu_v1.2.7.big,8429540fa8ac56b73f56f468789017d741695e31,
1.2.8,Zulu_v1.2.7.big,8429540fa8ac56b73f56f468789017d741695e31,same assets as 1.2.7
1.2.9,Zulu_v1.2.9.big,e8156993ad776602f3e3d372a51bd19fcfab00ab,
1.3.0,Zulu_v1.3.0.big,615fd005a78e224e8819fb6c57a6e89d5a8a90ca,
1.3.1,Zulu_v1.3.1.big,9d95e12f5de5468cf32e744bb34dc0badfb8bc40,
1.3.2,Zulu_v1.3.2.big,739707e56ad05381de1b416130cb2a5d966672bd,
1.3.3,Zulu_v1.3.3.big,ce74567f83b43d56aa94c79bdc82e4543aa27697,
retail_1.04,,,retail base data only - run with no -mod
zulu_1.1_dev_20260520,Zulu_v1.2.0.big,,dev build - iniCRC C65B21AB = v1.2.0 assets (verified)
zulu_1.2_dev_20260527,Zulu_v1.2.0.big,,dev build - iniCRC C65B21AB = v1.2.0 assets
zulu_1.4_dev_20260510,Zulu_v1.2.0.big,,dev build - iniCRC C65B21AB = v1.2.0 assets
zulu_1.4_dev_20260508,Zulu_v1.1.0.big,,dev build - iniCRC D78B2801 = v1.1.0 assets (verified)
prerelease_1.05_feb2025,,,retail base data (iniCRC FEAAE3F3) - no mod
devmisc_1A5EF2C5_20260402,,,retail base data (iniCRC FEAAE3F3) - no mod
devmisc_12D65228_20260501,,,retail base data (iniCRC FEAAE3F3) - no mod
devmisc_F6BBAA4D_20260502,,,retail base data (iniCRC FEAAE3F3) - no mod
